Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
MaxLvl	99	99	99	99	99	99	99	10
0	0	0	0	0	0	0	0	1024
1	63	63	63	63	63	63	63	1024
2	188	188	188	188	188	188	188	1024
3	469	469	469	469	469	469	469	1024
4	984	984	984	984	984	984	984	1024
5	1772	1772	1772	1772	1772	1772	1772	1024
6	2835	2835	2835	2835	2835	2835	2835	1024
7	4111	4111	4111	4111	4111	4111	4111	1024
8	5550	5550	5550	5550	5550	5550	5550	1024
9	7214	7214	7214	7214	7214	7214	7214	1024
10	9018	9018	9018	9018	9018	9018	9018	1024
11	11273	11273	11273	11273	11273	11273	11273	1024
12	14091	14091	14091	14091	14091	14091	14091	1024
13	17613	17613	17613	17613	17613	17613	17613	1024
14	22017	22017	22017	22017	22017	22017	22017	1024
15	27521	27521	27521	27521	27521	27521	27521	1024
16	34401	34401	34401	34401	34401	34401	34401	1024
17	43001	43001	43001	43001	43001	43001	43001	1024
18	53751	53751	53751	53751	53751	53751	53751	1024
19	67189	67189	67189	67189	67189	67189	67189	1024
20	83986	83986	83986	83986	83986	83986	83986	1024
21	104983	104983	104983	104983	104983	104983	104983	1024
22	131229	131229	131229	131229	131229	131229	131229	1024
23	164036	164036	164036	164036	164036	164036	164036	1024
24	205045	205045	205045	205045	205045	205045	205045	1024
25	256306	256306	256306	256306	256306	256306	256306	1024
26	320383	320383	320383	320383	320383	320383	320383	1024
27	400478	400478	400478	400478	400478	400478	400478	1024
28	487783	487783	487783	487783	487783	487783	487783	1024
29	582944	582944	582944	582944	582944	582944	582944	1024
30	686670	686670	686670	686670	686670	686670	686670	1024
31	799732	799732	799732	799732	799732	799732	799732	1024
32	922969	922969	922969	922969	922969	922969	922969	1024
33	1057297	1057297	1057297	1057297	1057297	1057297	1057297	1024
34	1203715	1203715	1203715	1203715	1203715	1203715	1203715	1024
35	1363311	1363311	1363311	1363311	1363311	1363311	1363311	1024
36	1537270	1537270	1537270	1537270	1537270	1537270	1537270	1024
37	1726886	1726886	1726886	1726886	1726886	1726886	1726886	1024
38	1933567	1933567	1933567	1933567	1933567	1933567	1933567	1024
39	2158849	2158849	2158849	2158849	2158849	2158849	2158849	1024
