npc	buy mult	sell mult	rep mult	questflag A	questbuymult A	questsellmult A	questrepmult A	questflag B	questbuymult B	questsellmult B	questrepmult B	questflag C	questbuymult C	questsellmult C	questrepmult C	max buy	max buy (N)	max buy (H)
gheed	712	1088	128	4	1024	922	1024									15000	90000	175000
charsi	712	960	128	4	1024	922	1024									15000	90000	175000
akara	712	1024	128	4	1024	922	1024									15000	90000	175000
lysander	712	1024	128	9	1024	922	1024									30000	105000	190000
drognan	712	1024	128	9	1024	922	1024									30000	105000	190000
elzix	712	1024	128	9	1024	922	1024									30000	105000	190000
fara	712	1024	128	9	1024	922	1024									30000	105000	190000
hratli	712	1024	128	17	1024	922	1024									45000	130000	205000
alkor	712	1024	128	17	1024	922	1024									45000	130000	205000
ormus	712	1024	128	17	1024	922	1024									45000	130000	205000
asheara	712	1024	128	17	1024	922	1024									45000	130000	205000
jamella	712	1024	128	41	1024	922	1024									60000	145000	220000
halbu	712	1024	128	41	1024	922	1024									60000	145000	220000
malah	1024	2048	128	41	1024	922	1024	35	1024	512	1024					60000	145000	220000
drehya	1024	2048	128	41	1024	922	1024	35	1024	512	1024					75000	160000	235000
larzuk	1024	2048	128	41	1024	922	1024	35	1024	512	1024					75000	160000	235000
nihlathak	1024	2048	128	41	1024	922	1024	35	1024	512	1024					75000	160000	235000
	
